,from_province,to_province,time,quantity,from_lat,to_lat,from_lon,to_lon
22007,福建,内蒙古自治区,2020-01-07,86.0387832,43.31756153846155,25.43876153846154,114.96750923076924,118.90709846153844
22008,福建,内蒙古自治区,2020-01-08,82.7997552,44.153043749999995,25.569291250000003,116.03510375,119.04306999999999
22009,福建,内蒙古自治区,2020-01-09,121.65143760000001,43.711561428571436,25.366577857142865,115.35534071428573,118.87391285714284
22010,福建,内蒙古自治区,2020-01-10,95.0660064,43.94305846153846,25.574648461538466,115.69393615384615,119.02578153846152
22011,福建,内蒙古自治区,2020-01-11,66.28129559999999,43.47496909090909,25.442394545454547,114.70156090909092,118.73260636363635
22012,福建,内蒙古自治区,2020-01-12,87.83293320000001,43.090312142857144,25.596890000000005,113.78803857142857,118.86576285714285
22013,福建,内蒙古自治区,2020-01-13,126.225702,43.78342529411765,25.55124764705883,115.58282294117646,119.02351058823527
22014,福建,内蒙古自治区,2020-01-14,120.51209160000002,43.031541999999995,25.44361933333334,114.19637400000002,118.92163599999998
22015,福建,内蒙古自治区,2020-01-15,125.8193412,42.98214,25.4338605882353,114.30290235294117,118.92067058823528
22016,福建,内蒙古自治区,2020-01-16,109.48883400000001,43.186959333333334,25.681344000000013,114.34696666666666,119.11399733333332
22017,福建,内蒙古自治区,2020-01-17,120.73370759999999,42.61197125,25.60097125000001,113.774415625,119.08454999999998
22018,福建,内蒙古自治区,2020-01-18,107.25880680000002,43.30464562499999,25.67243562500001,115.70060062499999,119.02032812499998
22019,福建,内蒙古自治区,2020-01-19,113.84132039999999,43.88302999999999,25.62394400000001,115.95623133333335,119.06629133333331
22020,福建,内蒙古自治区,2020-01-20,151.4685096,43.004575263157896,25.46232210526317,114.25081263157895,118.95233999999999
22021,福建,内蒙古自治区,2020-01-21,93.2553972,43.15638642857143,25.513806428571435,114.33953785714284,118.97016999999997
22022,福建,内蒙古自治区,2020-01-22,96.1761276,43.54112125,25.492613750000007,114.744443125,118.97559874999999
22023,福建,内蒙古自治区,2020-01-23,104.4639828,42.68003,25.462737647058837,114.03436705882352,118.93305058823526
22024,福建,内蒙古自治区,2020-01-24,82.42061039999999,43.35616933333334,25.788524000000006,115.31461733333335,119.02968933333332
22025,福建,内蒙古自治区,2020-01-25,33.5525004,43.54963588235294,25.56172470588236,115.89584999999998,118.82662823529411
22026,福建,内蒙古自治区,2020-01-26,22.8250872,41.911229999999996,25.823210000000007,112.7168,119.22859272727273
22027,福建,内蒙古自治区,2020-01-27,15.499026000000002,42.747958999999994,25.624293000000005,114.28427300000001,118.83815899999999
