from_province,上海,云南,内蒙古自治区,北京,吉林,四川,天津,宁夏回族自治区,安徽,山东,山西,广东,广西壮族自治区,新疆维吾尔自治区,江苏,江西,河北,河南,浙江,海南,湖北,湖南,甘肃,福建,西藏自治区,贵州,辽宁,重庆,陕西,青海,黑龙江
上海,0.0,244.1733741,179.62035930000002,2171.1153815000002,283.4538948,804.9239001000001,360.3040056,84.9004497,4150.099071000001,1948.6135575,286.4894265,1914.1760106,293.25446550000004,108.9996426,25013.0088402,969.1426845000002,533.3849514,1304.4289167,12723.1307281,333.5804532,880.8238323,516.488886,174.1395915,1074.0289203,11.333511900000001,209.1642912,595.6228970999998,506.31257250000004,513.1149768,41.6526462,393.3386244
云南,415.0631565,0.0,42.1097292,539.8111593,44.612775,5394.11220985,87.41767320000001,41.7722832,184.0490829,415.75654890000004,94.1424039,6145.414272200001,1637.9662941000001,42.759762300000006,718.1561736,181.9360602,155.4571764,241.6406742,5028.44087695,96.53096430000001,302.4276507,394.0666929,57.0136239,1266.2037612,148.63918769999995,5316.28840635,97.0979238,1412.5985118,199.27398060000002,20.5974495,58.54036049999999
内蒙古自治区,10.0,4.1319072,0.0,3641.6904696000006,1737.6300711000001,3.9759767999999998,972.2928635999999,1620.1747737,5.8800573,370.1549907,2052.931659300001,10.0,10.0,44.479400399999996,10.0,2.14488,2867.8797144,21.478235400000003,10.0,32.167837799999994,10.0,10.0,554.627655,10.0,1.870128,10.0,3975.74648185,10.0,2338.18662145,6.481498499999999,2097.1332377999997
北京,2371.23369025,423.14941079999994,2297.2887738,0.0,817.4105685000001,1299.0453083500001,6172.8935867499995,247.94912430000002,1085.4715148999999,5247.1318293,2211.2765019000003,2302.3122236500003,487.24561800000004,245.49441929999998,2725.2982980000006,572.7980934000001,35511.438201,2886.2030808,1706.7155868000002,640.0195884,1109.233035,737.5909977,392.7951629999999,766.9812645,35.8160454,276.3075969,2200.6272132000004,615.2575401,1246.5866465499998,100.01514689999999,1342.2057290999999
吉林,352.4300766,16.6538106,1978.9537356,1868.3169454000003,0.0,100.7452728,916.3825811999999,10.940346,49.564872,1545.658848,32.3713503,13.8805164,13.9569318,1.5471728999999999,131.53582709999998,3.212784,990.7907607,41.410807199999994,10.0,77.6426877,2.0070342,55.1795328,1.9730304,42.1172136,2.1238281,10.0,6328.6135839,10.0,8.988667200000002,0.9622152,4074.166819749999
四川,2892.1828085,9406.159975899998,160.76869470000003,1993.7936645999998,114.9913584,0.0,238.91446529999996,167.57037000000003,379.52588879999996,1117.6168914,588.2960988,24143.762793500006,1381.3780095,642.1355513999999,4348.2309354,431.98404840000006,706.1412006,898.6674518999998,9626.177805300002,943.6850162999999,1363.3030863000001,807.4722977999999,1222.9421958,6832.265371150002,1408.3211934,6403.046873249999,405.81366119999996,27119.144971100002,3978.1072836000003,410.7870774,157.69290600000002
天津,490.7670363,67.40849970000002,455.2548219,6785.4591485,288.52447860000007,232.5929175,0.0,42.18428159999999,274.4326332,2384.2077273000004,522.9667395,57.399273,98.15764680000001,55.2542796,437.8633524,52.1407935,13269.55673665,656.8136829,47.430092699999996,173.37639330000002,173.0213055,90.5214204,94.41105660000001,150.22859400000004,4.971672000000001,31.2077934,746.9352954,148.6367172,250.97207670000003,18.6704514,434.26796490000004
宁夏回族自治区,10.0,10.0,1454.1441327,309.20661359999997,1.9489491,45.2412054,10.0,0.0,5.3835192,54.72295199999999,57.68645850000001,10.0,10.0,101.4959727,10.0,10.0,17.780067,14.647149,10.0,18.916437600000002,10.0,10.0,1786.2133284000001,10.0,2.8564488000000003,10.0,3.7674396000000003,10.0,1334.4360147,70.0273269,14.348469600000001
安徽,28226.2812636,175.9305177,176.47807770000003,3420.2447235,142.5634911,304.57546290000005,1249.6673682,115.06743360000002,0.0,4188.098325600001,552.0086253000001,3258.0079281,343.8314649,146.14238699999999,66406.10044050001,2290.3696404,1723.4576469000003,8572.76800985,59316.94140635,237.42449460000003,2494.337984100001,506.07241560000006,137.16382860000002,3341.1576195,26.626846500000003,134.4030246,712.408932,199.91766330000002,1014.096753,85.1839497,180.43649910000002
山东,4454.6580585500005,45.31702140000001,938.1494277,11309.5772423,717.4490597999999,345.2062455,5664.660723099999,222.5960838,2482.6853159999996,0.0,1618.2168012,68.0046354,225.20307689999999,205.85056499999996,14620.076613000005,286.21905660000004,11087.772326249999,7159.912136950002,3036.1821462,102.6152955,595.9985022000001,205.85996909999997,244.68590969999997,309.69823500000007,24.353241300000004,97.032492,2556.7267194000005,204.3691992,1225.9100763,98.3785014,1192.2487281000003
山西,412.18393050000003,55.5407199,2873.3223393,7447.572774799999,59.885171099999994,341.5663323,1891.141263,217.9808577,128.9004678,1642.2702777000002,0.0,26.4785274,47.9455929,46.12059810000001,1420.7618942999998,25.429107600000002,5578.682082300001,3004.4614202999996,131.2517196,103.0260951,141.81659820000002,51.561789299999994,187.1936406,40.5772578,18.259222500000003,24.357866400000002,240.94964700000003,150.9463269,4704.77759405,60.1332579,63.00634409999999
广东,1566.9145116,600.6796542,171.6296688,1862.27668635,285.1269012,1977.3958059000006,241.4662083,77.37785820000002,683.7340491,896.5587303000001,321.12856619999997,0.0,10892.433633299994,130.4415009,1222.4378735999999,4439.0949858,356.0975379,2134.0788687000004,882.2129822999999,2578.8576852,2667.0354840000005,7906.5020159999995,217.9186335,3553.4204199,13.442816700000002,735.9903081000001,424.1417742,1291.8783798,668.9231019000001,62.1898965,479.597355
广西壮族自治区,10.0,769.8865239000002,18.1842246,289.389672,40.4394363,712.8757755,10.0,24.4348407,50.774841900000006,83.9250153,36.6476886,124978.38654039995,0.0,6.837663599999999,106.5618747,446.1984549,136.10295539999998,147.9419397,657.1014030000001,824.5338057000004,400.42095659999984,3160.5911073,32.8263597,879.0412572,1.4607864,734.0327649000001,18.756870300000003,519.6862638,51.4273779,9.325638,36.8936532
新疆维吾尔自治区,10.0,10.0,2.3929668,288.21355200000005,14.2416468,224.41967730000002,10.0,52.71372269999999,10.0,29.292159599999994,8.1774252,10.0,10.0,0.0,74.931561,6.7609080000000015,10.0,103.3764687,10.0,51.924969000000004,37.307935799999996,48.7083456,390.2935185,10.0,5.4319734,10.0,5.266749600000001,106.4394972,179.7901596,22.140645300000003,2.544317999999999
江苏,39534.19480835,211.51070730000004,274.2123132,2755.5952706999997,252.61264260000002,733.2993746999998,576.1976796000001,153.21682170000003,20683.716063549997,12551.936037250001,871.3084788000002,334.65389759999994,256.34902680000005,196.42824000000002,0.0,1249.9872615,1456.7642964000001,3618.3934359000004,19999.58255435,206.2258866,1483.0107182999998,493.1894141999999,444.41810730000003,770.6064842999999,25.434931499999998,217.88735940000004,951.4138986,509.1927542999999,1222.2072260999998,124.51207409999998,337.69235339999994
江西,6633.8321462,710.3061396,28.7715888,546.4206216,37.747239300000004,666.96372,90.1294776,26.049681,2151.2770155000003,333.194148,73.0415394,66400.6424907,1469.362275,30.5520174,6764.050808099999,0.0,161.7712722,541.1029959,39636.40249424999,531.2277351000001,3743.853218100001,4848.153839099999,68.5632276,20400.472808700004,7.7824314,708.2618049,52.18935300000001,564.8457645,304.14151350000003,17.7529644,56.2583556
河北,495.9346176,240.58227960000002,3212.2900943999994,52911.523865300005,762.3816876000001,804.5740691999999,18142.0236004,345.2769341999999,883.6570422,12047.407092699998,6367.2380451,17.3583729,366.2111007000001,201.7244331,1596.9730202999997,186.8691465,0.0,4653.028678550001,96.8930964,257.91864480000004,824.7278169,353.45188350000006,353.06409599999995,24.677775900000004,25.6401936,156.38990759999996,3638.700006300001,363.9209553,1538.6890491000001,121.33201410000001,1007.7371109000001
河南,11328.9694204,585.4356729000001,719.0445491999997,13541.4526758,238.66635419999997,1613.2812606000002,3346.7196789,474.4862063999999,10149.600939399996,13349.106584949996,5377.816994400001,20027.1788416,917.5531284000003,879.0961428000003,27709.39600460001,1593.2139561000001,8399.10136945,0.0,31768.995889349993,458.6550885,8547.741035249997,1982.5535862000006,945.8559620999999,4928.075550900003,129.7792854,473.117355,1317.2263658999998,770.5995669,6042.946550400002,416.6842662,252.56113470000003
浙江,15548.531247849998,581.6435607,140.88571380000002,1143.1106045999998,170.12130299999998,760.1697800999999,233.1236943,106.2867501,5325.5127429,1908.7998948,302.1153309,1298.6389881000002,469.2393423,110.1217842,13556.6795989,3517.5340908000003,532.2858704999999,1850.5076129999998,0.0,255.10579829999998,1255.2797934000005,876.9081222000001,211.00194630000004,2998.1791169999997,16.6419684,609.9321788999999,354.3715899000001,518.299479,475.86950820000015,56.612414699999995,283.39100640000004
海南,10.0,17.316423,167.40347760000003,673.0843473000001,228.1398696,416.8798244999999,92.013462,41.429280600000006,34.971507,153.30987449999998,269.0224569,1012.0830362999999,292.28572980000007,87.81363900000001,18.6735294,90.67195079999999,271.23408090000004,368.13139200000006,10.0,0.0,189.0623511,299.57030280000004,106.1824788,3.8094624,2.7002889000000003,174.47073569999998,187.86885660000004,294.57684720000003,169.2405819,42.4840383,462.1831569000001
湖北,4218.030190900001,806.0635782000002,82.96979850000001,2301.57100885,73.38322980000001,1962.2319498000004,358.36141499999997,78.7768659,2368.9689138,1123.6970268,427.808952,33280.96845765,1246.3920683999997,121.95184229999997,7027.604339399999,4085.4774573000004,914.4857069999999,5530.663403100001,16872.266919449998,452.7150993,0.0,7516.250512249999,241.82382330000002,5953.321881000001,41.7679983,801.3249890999998,211.1953581,3645.212851750001,2039.1550253999999,62.0472555,129.3106356
湖南,1163.233305,1680.2576415000003,51.09186779999999,839.9332502999999,63.0650124,961.2226745999997,115.3547406,29.6559549,721.8357687000002,470.6450891999999,149.58488700000004,109343.70860734995,6676.363083600001,62.104498199999995,2103.9377076,5802.686934299999,238.646736,1071.6755462999997,14622.775589599998,941.5527318000003,7568.600318099998,0.0,84.77452710000001,6239.0635155,34.693361100000004,3656.0381697000016,126.11627910000001,1638.3542031,314.2723779,29.567049300000004,72.58320900000001
甘肃,256.86567719999994,17.864145,502.0935174,620.791128,4.7135088,933.0145542,469.6194995999999,2606.2065009000003,10.3376196,152.5485636,48.64016790000001,23.5392318,12.8570733,1917.8260892999992,607.1700302999999,33.230077200000004,140.30388269999997,104.3631297,180.5371416,37.1622087,58.4606403,2.1722904,0.0,6.8217876,174.35185199999998,11.2978152,18.8177904,152.8348014,5587.089517899997,2086.0862472000003,1.6566606000000001
福建,3488.2362045500004,578.2603445999998,112.8306672,740.2753214999999,123.8912658,630.2702502,90.1949013,55.1157291,743.0546907,837.8500923,310.8637602,11491.928419400001,1110.4090092,85.35852090000002,1982.9402964000005,2853.5613605999997,171.5274063,678.8797595999999,5148.622585749999,285.610536,982.5530930999998,866.2570758000002,156.4530066,0.0,5.6323998,613.5316974000001,261.03020310000005,553.4649972,498.05378010000004,36.664560900000005,133.90619490000003
西藏自治区,10.0,4.0855104,10.0,10.0,10.0,163.77275790000002,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.40485420000000005,19.1273238,10.0,10.0,4.817556,10.0,10.0,10.0,10.0,5.867559000000001,10.0,0.0,10.0,10.0,10.0,17.328654,46.6793928,10.0
贵州,435.6012086999999,4173.6591279,13.8218724,300.084588,14.2616484,4069.055841300001,10.0,6.2143767,110.5037235,92.2537593,12.150723600000001,13108.551618600002,3014.4992967000007,6.3045054,1203.0535773,545.3415962999998,22.213358999999997,22.283424000000004,15328.880154249999,260.0106156,305.78981489999995,2089.7943057,28.3298067,4055.1440670000006,13.1361345,0.0,30.213275399999993,4200.789988699999,148.5839781,3.5663652,12.972587400000002
