,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
36618,2.0,江西,46479999.996,0.003,0.0,0.0,28.422473636363634,116.2816772727273
37249,2.0,河北,75559999.999,0.001,0.0,0.0,39.43456181818181,116.94264636363637
37978,2.0,河南,96049999.991,0.008,0.001,0.0,34.62354470588235,114.39410823529411
38784,2.0,浙江,57369999.999,0.001,0.0,0.0,30.10409363636364,120.86088727272727
39374,2.0,海南,9340000.0,0.0,0.0,0.0,19.191874285714285,110.12555857142857
40142,2.0,湖北,59169925.171,108.565,55.325,10.939,31.060170000000003,113.48653125000003
40938,2.0,湖南,68989999.993,0.006,0.001,0.0,28.16187230769231,112.56216384615384
41580,2.0,甘肃,26370000.0,0.0,0.0,0.0,37.30401,103.87728333333332
42440,2.0,福建,39409999.999,0.001,0.0,0.0,26.142049999999998,118.73027333333334
43035,2.0,西藏,3439999.999,0.001,0.0,0.0,,
43036,2.0,贵州,36000000.0,0.0,0.0,0.0,27.496083333333335,107.00552
43564,2.0,辽宁,43590000.0,0.0,0.0,0.0,41.50919357142857,123.15024785714284
44339,2.0,重庆,31019999.996,0.004,0.0,0.0,31.947670000000002,109.8788
44342,2.0,陕西,38639999.998,0.001,0.0,0.0,35.282599000000005,109.596947
45137,2.0,青海,6029999.999,0.001,0.0,0.0,36.88553,102.31702999999999
45211,2.0,黑龙江,37730000.0,0.0,0.0,0.0,47.34939249999999,130.2335575
46029,3.0,上海,24239999.998,0.002,0.0,0.0,31.6229,121.54409
46033,3.0,云南,48299999.999,0.0,0.0,0.0,25.904379999999996,102.30507500000002
46705,3.0,内蒙古,25339999.999,0.001,0.0,0.0,,
46706,3.0,北京,21539999.998,0.002,0.0,0.0,40.45678,117.12141000000001
46709,3.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
47408,3.0,四川,83409999.997,0.002,0.0,0.0,30.53237777777778,105.2965627777778
48281,3.0,天津,15600000.0,0.0,0.0,0.0,40.045770000000005,117.82478
48285,3.0,宁夏,6879999.998,0.002,0.0,0.0,,
48286,3.0,安徽,63239999.996,0.004,0.001,0.0,32.297855625000004,117.78378999999998
48991,3.0,山东,100469999.999,0.001,0.0,0.0,36.72984058823529,118.55807705882354
49764,3.0,山西,37180000.0,0.0,0.0,0.0,37.94250727272727,113.0517218181818
50554,3.0,广东,113459999.995,0.004,0.001,0.0,23.33513857142857,114.03101857142859
51252,3.0,广西,49259999.999,0.001,0.0,0.0,,
51253,3.0,新疆,24870000.0,0.0,0.0,0.0,,
51254,3.0,江苏,80509999.997,0.002,0.0,0.0,33.117227692307694,119.85052999999999
