,day,susceptics,exposed,infected,recover,province_y,province_en
125,4,48299999,0,0,0,云南省,Yunnan
126,4,25339999,0,0,0,内蒙古自治区,Inner Mongolia
127,4,21539999,0,0,0,北京市,Beijing
128,4,27039999,0,0,0,吉林省,Jilin
129,4,83409999,0,0,0,四川省,Sichuan
130,4,15599999,0,0,0,天津市,Tianjin
131,4,6879999,0,0,0,宁夏回族自治区,Ningxia
132,4,63239999,0,0,0,安徽省,Anhui
133,4,100469999,0,0,0,山东省,Shandong
134,4,37179999,0,0,0,山西省,Shanxi
135,4,113459999,0,0,0,广东省,Guangdong
136,4,49259999,0,0,0,广西壮族自治区,Guangxi
137,4,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
138,4,80509999,0,0,0,江苏省,Jiangsu
139,4,46479999,0,0,0,江西省,Jiangxi
140,4,75559999,0,0,0,河北省,Hebei
141,4,96049999,0,0,0,河南省,Henan
142,4,57369999,0,0,0,浙江省,Zhejiang
143,4,9339999,0,0,0,海南省,Hainan
144,4,59169997,1,0,0,湖北省,Hubei
145,4,68989999,0,0,0,湖南省,Hunan
146,4,26369999,0,0,0,甘肃省,Gansu
147,4,39409999,0,0,0,福建省,Fujian
148,4,3439999,0,0,0,西藏自治区,Tibet
149,4,35999999,0,0,0,贵州省,Guizhou
150,4,43589999,0,0,0,辽宁省,Liaoning
151,4,31019999,0,0,0,重庆声,Chongqing
152,4,38639999,0,0,0,陕西省,Shaanxi
153,4,6029999,0,0,0,青海省,Qinghai
154,4,37729999,0,0,0,黑龙江省,Heilongjiang
155,5,24239999,0,0,0,上海市,Shanghai
156,5,48299999,0,0,0,云南省,Yunnan
157,5,25339999,0,0,0,内蒙古自治区,Inner Mongolia
158,5,21539999,0,0,0,北京市,Beijing
159,5,27039999,0,0,0,吉林省,Jilin
160,5,83409999,0,0,0,四川省,Sichuan
161,5,15599999,0,0,0,天津市,Tianjin
162,5,6879999,0,0,0,宁夏回族自治区,Ningxia
163,5,63239999,0,0,0,安徽省,Anhui
